Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19681102,731.5,0,100/01-16-036-03W4/00,,,4,,20230501,Pumping Gas,374.6,332.8,PRIMARY,,706.5,702.3,702,PROVOST MBR,354184.1,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,2541.0835,15.724527,,2.5,404,19681104,703.8,552.35,0.29,0.04,3.69,0.08,0.68,95.52,0.71,,0,0,,,2,,,0035073,1,0,,58167.8,2054176.5,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19681105,724.8,0,100/03-20-036-04W4/00,,,4,,20230501,Pumping Gas,369.6,324.7,PRIMARY,,707.1,702.9,702,PROVOST MBR,579409.7,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,718.2964,3.7738864,,0.6,114.2,19681107,690.7,1448.6,0.12,0.06,13.74,0.06,0.79,249.88,2.43,,0,0,,,2,,,0035095,1,0,,95160.3,3360554.2,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT SERVICE,Vertical,,PROVOST COMMINGLED MFP9515,INJECTION,19681111,902.8,0,100/07-22-035-10W4/00,,,2,19890501,,Abandoned Water Injection,409.97,364.5,PRIMARY,Waterflood,883.3,881.5,882.1,HAMILTON LAKE MBR,0,BELLY RIVER DD,,BWL,AB4,Medicine Hat,0,0,0,19891109,0,0,19681114,770.5,,,,,,,,,,0,547683.1,0,,2,,,0035155,6,0,0,0,0,,3444823.2,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT SERVICE,Vertical,,PROVOST COMMINGLED MFP9515,INJECTION,19681214,910.4,0,100/02-16-035-10W4/00,,,2,19820901,,Abandoned Water Injection,411.16,368.5,PRIMARY,Waterflood,889.4,887.6,887.3,HAMILTON LAKE MBR,0,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,0,0,19920123,0,0,19681218,775.7,,,,,,,,,,0,217358.12,0,,2,,,0035402,4,0,0,0,0,,1367141.5,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PINE CREEK,DEVELOPMENT,Vertical,,,,19681219,3808.8,0,102/14-19-055-19W5/03,,,,,,Abandoned,358.09,789.2,PRIMARY,,,,3657,LEDUC FM,,,,BWL,AB2,Drayton Valley/Grande Prairie,,,,19951208,,,19690308,1143,,,,,,,,,,,,,,,,,0035474,18,,,,,,,48739,842,52250,62403,101917,1473,103390,65562,51408,957,66519,141181,3511
PINE CREEK,DEVELOPMENT,Vertical,,PINE CREEK GETHING O,,19681219,3808.8,0,102/14-19-055-19W5/00,,,6,,19700901,Abandoned Zone Crude Oil,358.09,789.2,PRIMARY,,2807.8,2801.7,3657,LEDUC FM,11572.784,GETHING O,,BWL,AB2,Drayton Valley/Grande Prairie,0,0,7711.308,19951208,1226,0,19690308,1143,144.3,109.11,,68.86,9.5,,133.99,21.37,,0,0,,14,7,27073,97,0035474,18,0,,634.2,22396.562,,0,48739,842,52250,62403,101917,1473,103390,65562,51408,957,66519,141181,3511
PINE CREEK,DEVELOPMENT,Vertical,,PINE CREEK GETHING R,,19681219,3808.8,0,102/14-19-055-19W5/02,,,4,,19710401,Abandoned Zone Crude Oil,358.09,789.2,PRIMARY,,2767.6,2763.3,3657,LEDUC FM,5072.7466,GETHING R,,BWL,AB2,Drayton Valley/Grande Prairie,0,0,2178.1614,19951208,346.3,0,19690308,1143,117.08,33.1,,72.85,6.04,,53.29,18.6,,0,0,,6,4,23084,68,0035474,18,0,,475.4,16788.592,,0,48739,842,52250,62403,101917,1473,103390,65562,51408,957,66519,141181,3511
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,INJECTION,19690219,919,0,100/01-21-035-09W4/00,,,3,19971001,,Abandoned Water Injection,364.4,430.5,PRIMARY,,905.6,903.1,902.8,HAMILTON LAKE MBR,0,BELLY RIVER DD,,BWL,AB4,Medicine Hat,0,0,0,20120913,0,0,19690222,791.9,,,,,,,,,,0,315353.84,0,,2,,,0035681,6,0,0,0,0,,1983516,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
TABER NORTH,DEVELOPMENT,Vertical,,,,19690201,1001.3,0,100/04-23-011-16W4/00,,,,,,Abandoned,443.58,341.3,PRIMARY,,,,974.8,TABER SD,,,,BWL,AB3,Calgary/Edmonton,,,,19690209,,,19690207,780.9,,,,,,,,,,,,,,,,,0035719,,,,,,,,546,556,686,648,199,1144,1343,139,130,668,807,5786,140
WARWICK,NEW FIELD WILDCAT,Vertical,,WARWICK COMMINGLED POOL 021,,19690422,727.9,0,100/07-12-054-15W4/00,,,14,,19790701,Abandoned Zone Gas,333.22,296.5,PRIMARY,,701.6,687.9,716.3,WOODBEND GRP,4187.2236,UPPER MANNVILLE A,,BWL,AB5,Lloydminster,0,65.41403,0,20030813,0,10.4,19690423,625.8,468.03,,1.02,143.35,,0.41,80.69,24.72,,0,0,,,,,,0036130,12,0,,687.7,24285.896,,0,9204,36,9609,9694,14722,61,14783,10076,9573,40,10116,15110,405
WARWICK,NEW FIELD WILDCAT,Vertical,,WARWICK UPPER MANNVILLE X,,19690422,727.9,0,100/07-12-054-15W4/02,,,21,,19920201,Abandoned Zone Gas,333.22,296.5,PRIMARY,,632.8,611.4,716.3,WOODBEND GRP,41049.04,UPPER MANNVILLE X,,BWL,AB5,Lloydminster,0,3407.1904,0,20030813,0,541.7,19690423,625.8,196.39,,0.36,15.91,,0.9,33.86,2.74,,0,0,,,,,,0036130,12,0,,6741.8,238084.42,,0,9204,36,9609,9694,14722,61,14783,10076,9573,40,10116,15110,405
WARWICK,NEW FIELD WILDCAT,Vertical,,WARWICK UPPER MANNVILLE R2R,,19690422,727.9,0,100/07-12-054-15W4/03,,,2,,19980901,Abandoned Gas,333.22,296.5,PRIMARY,,642.8,641.3,716.3,WOODBEND GRP,15178,UPPER MANNVILLE R2R,,BWL,AB5,Lloydminster,0,469.21988,0,20030813,0,74.6,19690423,625.8,52.44,,2.74,37.35,,2.43,9.04,6.44,,0,0,,,,,,0036130,12,0,,2492.8,88032.4,,0,9204,36,9609,9694,14722,61,14783,10076,9573,40,10116,15110,405
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19690608,920.5,0,100/04-02-035-09W4/00,,,2,,19960701,Abandoned Crude Oil,363.3,425.8,PRIMARY,,905.9,904.3,903.7,HAMILTON LAKE MBR,347347.12,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,108359.6,333096.44,20120906,52958.1,17227.8,19690610,784.6,24.27,42.32,1.58,2.07,2.26,7.5,46.5,2.62,,0,0,,,2,,,0036320,5,0,,2340.5,82653.98,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19690715,928.1,0,100/06-13-035-09W4/00,,,2,,19860201,Abandoned Crude Oil,359.1,445.3,PRIMARY,,912.9,911.4,911,HAMILTON LAKE MBR,119519.32,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,38447.098,114463.234,19910905,18198.2,6112.6,19690718,799.8,19.47,91.82,7.35,0.27,1.04,5.86,95.18,1.09,,0,0,,,2,,,0036525,2,0,,830.4,29325.299,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19690909,700.1,0,100/05-26-036-04W4/00,,,3,,20061201,Abandoned Gas,377.6,297.2,PRIMARY,,679.4,676.4,674.8,PROVOST MBR,344045.25,BELLY RIVER DD,,BWL,AB4,Medicine Hat,0,339.64978,95.605125,20061218,15.2,54,19690911,671.2,754.13,1.06,0.1,14.05,3.19,0.19,131.08,5.61,,0,0,,,2,,,0036755,2,0,,56489.5,1994907.9,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
ALDERSON,DEVELOPMENT,Vertical,,ALDERSON COMMINGLED MFP9501,,19690912,343.5,0,100/06-30-014-10W4/00,,,112,,20110701,Abandoned Gas,543,206.2,PRIMARY,,343.5,231.6,317.9,COLORADO GRP,85954.68,BELLY RIVER G,,BWL,AB3,Medicine Hat,0,0,0,20110727,0,0,19690919,748,285.98,,,1.69,,,49.31,0.29,,0,0,,,,,,0036843,,0,,14117,498537.16,,0,64942,2775,75340,68489,113682,5775,119457,76405,72565,3087,79492,382223,10398
LONE PINE CREEK,DEVELOPMENT,Vertical,,LONE PINE CREEK D-3 A,,19691007,2450.6,0,100/10-04-031-27W4/00,,,4,,19740201,Abandoned Gas,595.5,343.9,PRIMARY,,2412.8,2409.1,2404.3,LEDUC FM,214119.53,D-3 A,,BWL,AB3,Calgary/Edmonton,0,41305.188,0,20001124,0,6567,19691028,935.4,3445.69,,0.46,1612.86,,152.81,594.08,278.08,,0,0,,2044,3,20202,82,0036981,4,0,,35166.5,1241893.2,,0,16001,1070,17682,20957,27131,2235,29366,21462,16612,1453,22915,63361,1681
JUDY CREEK,DEVELOPMENT,Vertical,,JUDY CREEK COMMINGLED POOL 002,,19691130,1501.7,0,100/10-27-063-12W5/00,,,18,,19990901,Abandoned Gas,101,972.5,PRIMARY,,1481.9,1463.6,1493.2,MANNVILLE GRP,540985.8,VIKING B,,BWL,AB5,Athabasca/Peace River,0,67146.875,0,20070920,0,10675.5,19691208,1069.8,2029.04,,0.79,31.25,,1.83,350.95,5.86,0.47,1176.1946,0,,,,,,0037284,7,187,,88657.1,3130896,1.12,0,17396,19353,23082,21696,4889,52107,56996,4089,3729,24729,28818,252724,5686
TWEEDIE,NEW POOL WILDCAT,Vertical,,TWEEDIE GRAND RAPIDS S,,19700107,507.5,0,100/11-04-069-12W4/00,,,2,,19961001,Abandoned Gas,466.28,134.8,PRIMARY,,297.2,295.7,475.5,IRETON FM,72733.6,GRAND RAPIDS S,,BWL,AB6,Lloydminster,0,2626.625,0,20070314,0,417.6,19700111,598.3,454.27,,0.06,32.01,,0.66,78.32,5.52,,0,0,,,,,,0037545,4,0,,11945.6,421854.88,,0,9534,,9780,10035,14291,,14291,10289,9780,,10289,9127,246
PROVOST,DEVELOPMENT,Vertical,,,DISPOSAL,19700129,923.5,0,100/12-16-040-10W4/00,,,2,20030901,,Abandoned Water Disposal,383.85,323.9,PRIMARY,II,906.5,904.6,897.6,GLAUCONITIC SS,0,,,BWL,AB4,Medicine Hat,0,0,0,20061205,0,0,19700201,704.4,,,,,,,,,,0,3756725,0,,,,,0037676,2,0,0,0,0,,23629090,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
SENEX,DEVELOPMENT,Vertical,,SENEX KEG RIVER V,,19700227,1325.6,0,100/06-18-092-03W5/00,,,11,,19910501,Abandoned Crude Oil,238.6,372.2,PRIMARY,,1296,1284.7,1276.2,KEG RIVER FM,26464.014,KEG RIVER V,,BWL,AB7,Athabasca/Peace River,0,17570.586,25443.543,20010915,4045.2,2793.5,19700320,606.6,26.05,114,14.19,1.34,6.21,13,118.49,6.44,,0,0,,16,9,12019,31,0037856,5,0,,167.6,5918.7383,,0,200,219,280,218,111,652,763,64,61,243,307,3013,80
PROVOST,NEW POOL WILDCAT,Vertical,,PROVOST COMMINGLED MFP9515,,19700901,1080.5,0,100/06-11-037-09W4/00,,,2,,20021101,Abandoned Gas,368.7,481.1,PRIMARY,,929,927,972.9,MANNVILLE GRP,487.09885,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,94.34716,0,20120904,0,15,19700905,845.5,170.06,,1.21,20.42,,3.04,29.32,3.52,,0,0,,,2,,,0038657,1,0,,80,2825.1733,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19700912,767.2,0,100/02-16-037-05W4/00,,,4,,20230501,Pumping Gas,359.8,364.7,PRIMARY,,747.4,743.7,743.4,PROVOST MBR,254387.45,BELLY RIVER DD,,BWL,AB4,Medicine Hat,0,813.2725,135.85991,,21.6,129.3,19700914,720.5,601.35,3.96,0.06,19.88,0.11,0.66,107.64,3.54,,0,0,,,2,,,0038735,2,0,,41757.7,1474659.2,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
COUNTESS,NEW POOL WILDCAT,Vertical,,COUNTESS UPPER MANNVILLE M24M,OBSERVATION,19701025,1176.5,0,100/04-10-020-17W4/00,,,12,,19980301,Observation,544.69,232.5,WATER FLOOD,Waterflood,1132.5,1121,1159.8,PEKISKO FM,690879.94,UPPER MANNVILLE M24M,,BWL,AB3,Calgary/Edmonton,0,4838088,621901.25,,98874.4,769194.5,19701029,773.6,73.19,99.17,4.93,36.77,55.56,1698.67,111.79,61.9,,0,0,,,2,,,0038935,7,0,,11328.9,400076.3,,0,63387,3457,92324,67047,200874,6436,207310,93758,88867,3769,97527,1068397,28937
PLAIN,NEW POOL WILDCAT,Vertical,,PLAIN COMMINGLED POOL 004,,19701104,777.2,0,100/07-06-053-13W4/00,,,9,,19920201,Abandoned Gas,424.2,244.5,PRIMARY,,726,717.5,765.7,IRETON FM,103521.9,UPPER MANNVILLE D,YES,BWL,AB5,Lloydminster,0,15571.685,0,20060407,0,2475.7,19701106,665.1,1111.05,,0.04,27.17,,19.23,191.56,4.68,,0,0,,,,,,0039059,8,0,,17002.2,600427,,0,7193,6,7412,7567,11270,10,11280,7789,7406,6,7795,8138,219
GILBY,NEW POOL WILDCAT,Vertical,,,,19701119,2299.7,0,100/07-22-040-04W5/02,,,,,19890701,Abandoned Gas,372.29,604.9,PRIMARY,,,,2283.3,BANFF FM,1243.3721,,YES,BWL,AB2,Calgary/Edmonton,0,0,0,19991222,0,0,19701211,972.9,151.23,,,109.01,,,28.35,20.38,1.59,96.86308,0,,,,,,0039157,11,15.4,,188.3,6649.752,2.28,0,51335,2663,53990,57519,68824,5993,74817,57410,51327,3042,60452,108384,2655
WILLESDEN GREEN,NEW POOL WILDCAT,Vertical,,,,19701119,2299.7,0,100/07-22-040-04W5/00,,,20,,19710401,Abandoned Zone Crude Oil,372.29,604.9,PRIMARY,,2267.4,2247.9,2283.3,BANFF FM,1002.9085,,YES,BWL,AB2,Calgary/Edmonton,0,104.41086,364.80902,19991222,58,16.6,19701211,972.9,131.73,16.44,4.29,41.58,4.1,1.17,39.15,11.27,,0,0,,,,,,0039157,11,0,,104.8,3700.977,,0,49372,10364,59918,61676,77326,34422,111748,54955,49554,18398,73353,434799,10546
WILLINGDON,DEVELOPMENT,Vertical,,WILLINGDON COMMINGLED MFP9503,,19701222,682.4,0,100/06-27-055-15W4/00,,,1,,19820301,Abandoned Gas,439.4,196.1,PRIMARY,,515.1,513.9,679.1,LEDUC FM,18374.662,VIKING J,,BWL,AB5,Lloydminster,0,25.159243,9106.388,20011107,1447.8,4,19701231,631.9,195.5,8.56,0.36,3.22,1.6,0.41,42.27,2.16,,0,0,,,,,,0039351,3,0,,1522.2,53755.984,,0,3993,,4137,4218,6508,,6508,4367,4137,,4367,5429,144
VIKING-KINSELLA,DEVELOPMENT,Vertical,,,,19710104,749.8,0,100/10-16-049-11W4/00,,,,,,Abandoned,445.9,207,PRIMARY,,,,736.7,IRETON FM,,,,BWL,AB4,Medicine Hat,,,,19950606,,,19710112,649.8,,,,,,,,,,,,,,,,,0039444,11,,,,,,,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
MEDICINE HAT,DEVELOPMENT,Vertical,,,,19710512,454.2,0,100/11-05-011-05W4/00,,,,,,Abandoned,514.1,306.1,PRIMARY,,,,415.1,MEDICINE HAT SD,,,YES,BWL,AB3,Medicine Hat,,,,19980601,,,19710513,817.5,,,,,,,,,,,,,,,,,0040018,1,,,,,,,137721,543,165155,144990,274778,2851,277629,173272,164612,597,173869,999918,27434
OKOTOKS,DEVELOPMENT,Vertical,,,,19710604,2636.5,0,100/10-02-022-29W4/00,,,,,19720501,Abandoned Gas,634.9,392.3,PRIMARY,,,,2561.2,CROSSFIELD MBR,17121.525,,,BWL,AB2,Calgary/Edmonton,0,7659.1025,0,19741017,0,1217.7,19710711,1022.6,842.09,,83.33,1089.36,,67.14,145.19,187.82,,0,0,,,,,,0040118,8,0,,2812,99304.84,,0,7460,4,7986,14197,42107,7,42114,15105,7982,4,15109,19930,526
CHIN COULEE,DEVELOPMENT,Vertical,,CHIN COULEE COMMINGLED POOL 001,,19710525,883.9,0,100/14-16-007-14W4/00,,,4,,20020901,Abandoned Crude Oil,560.9,255.7,WATER FLOOD,Waterflood,872.6,868.7,872.9,RIERDON FM,153358.42,GLAUCONITIC C,YES,BWL,AB3,Medicine Hat,0,338437.1,151213.97,20140714,24041.1,53807.2,19710530,812.9,4.91,67.02,30.16,0.12,1.8,58.63,67.87,1.82,,0,0,,,5,7532,32,0040149,3,0,,352.2,12437.825,,0,118,101,153,133,79,203,282,55,52,116,171,1300,35
PAKOWKI LAKE,DEVELOPMENT,Vertical,,PAKOWKI LAKE BOW ISLAND B,,19710730,734.6,0,100/10-19-004-06W4/00,,,3,,20020701,Abandoned Gas,513.29,361.5,PRIMARY,,697.4,694.9,663.5,BOW ISLAND FM,653969.2,BOW ISLAND B,,BWL,AB3,Medicine Hat,0,1112.0386,0,20120921,0,176.8,19710801,871.4,1980.79,,0.07,28.6,,0.42,341.52,4.93,,0,0,,,,,,0040495,1,0,,107406.4,3793021.2,,0,880,15,890,928,1165,24,1189,922,875,16,938,364,10
COMREY,DEVELOPMENT,Vertical,,COMREY COMMINGLED MFP9517,,19710807,1075.9,182.87,100/06-07-002-06W4/00,,,12,,19950901,Abandoned Gas,564,415.6,PRIMARY,,421.3,409.8,1057.4,LIVINGSTONE FM,972.3711,SECOND WHITE SPECKS,YES,BWL,AB3,Medicine Hat,0,361.03513,0,19981204,0,57.4,19710811,975.7,22.06,,14.63,5.22,,1.63,3.8,0.9,,0,0,,,,,,0040509,7,0,,159.7,5639.7524,,0,974,,1009,1026,1507,,1507,1062,1009,,1062,1248,35
CRAIGEND,DEVELOPMENT,Vertical,,,,19720131,555.3,0,100/06-03-064-12W4/00,,,1,,,Abandoned,520,91.7,PRIMARY,,382.2,381,524.3,MCMURRAY FM,,,YES,BWL,AB6,Lloydminster,,,,20140129,,,19720203,608.7,,,,,,,,,,,,,,,,,0041909,2,,,,,,,15395,,16123,16205,28432,,28432,16959,16123,,16959,27136,728
WARWICK,NEW POOL WILDCAT,Vertical,,WARWICK COMMINGLED POOL 002,,19720912,838.5,0,100/06-28-050-14W4/00,,,6,,20060101,Abandoned Gas,413.9,257.6,PRIMARY,,654.7,649.2,822,NISKU FM,194356.1,VIKING W,YES,BWL,AB5,Medicine Hat,0,621.4333,0,20151120,0,98.8,19720915,667.8,251.22,,0.04,33.59,,0.05,43.31,5.79,,0,0,,,,,,0043392,3,0,,31920.6,1127265.4,,0,9204,36,9609,9694,14722,61,14783,10076,9573,40,10116,15110,405
HAIRY HILL,NEW POOL WILDCAT,Vertical,,HAIRY HILL UPPER MANNVILLE A,,19721005,720.9,0,100/07-23-056-14W4/00,,,2,,19810701,Abandoned Gas,423,275.9,PRIMARY,,634.9,633.4,712.6,CAMROSE TONGUE =DOL=,385130.2,UPPER MANNVILLE A,,BWL,AB5,Lloydminster,0,10654.939,0,19990223,0,1694,19721007,695.6,2697.87,,0.34,135.92,,22.01,465.15,23.43,,0,0,,,,,,0043454,4,0,,63252.9,2233755,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
MIRAGE,NEWFLDWILDCATIEW,Vertical,,,,19720920,2651.8,0,100/04-02-079-06W6/00,,,,,,Abandoned,190.81,410,PRIMARY,,,,2638.13,PRECAMBRIAN SYSTEM,,,,BWL,AB7,Drayton Valley/Grande Prairie,,,,19721026,,,19721022,596.8,,,,,,,,,,,,,,,,,0043598,,,,,,,,2555,1171,3284,2792,3054,2003,5057,2295,2113,1302,3597,30004,729
HAIRY HILL,DEVELOPMENT,Vertical,,HAIRY HILL COMMINGLED MFP9503,,19721204,745.2,0,100/07-25-056-14W4/00,,,1,,19930601,Abandoned Gas,426.8,241.3,PRIMARY,,566.9,566,716.3,IRETON FM,25391.246,VIKING N,,BWL,AB5,Lloydminster,0,9089.405,0,19980709,0,1445.1,19721208,665.1,564.22,,0.23,40.5,,6.1,97.28,6.98,,0,0,,,,,,0044388,2,0,,4170.2,147269.22,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
MANYBERRIES,DEVELOPMENT,Vertical,,,,19730226,853.4,0,100/11-08-005-05W4/02,,,,,,Abandoned Zone,492.4,449.7,PRIMARY,,,,769.3,BOW ISLAND SD,,,YES,BWL,AB3,Medicine Hat,,,,20120922,,,19730301,938.2,,,,,,,,,,,,,,,,,0045222,7,,,,,,,2241,599,2388,2432,2405,1783,4188,1905,1789,687,2592,5580,147
MANYBERRIES,DEVELOPMENT,Vertical,,MANYBERRIES COMMINGLED POOL 001,,19730226,853.4,0,100/11-08-005-05W4/03,,,49,,20081101,Abandoned Gas,492.4,449.7,PRIMARY,,466.9,417.6,769.3,BOW ISLAND SD,2658.951,MILK RIVER A,YES,BWL,AB3,Medicine Hat,0,11497.774,0,20120922,0,1828,19730301,938.2,26.11,,30.99,23.99,,10.29,4.5,4.14,,0,0,,,,,,0045222,7,0,,436.7,15421.915,,0,2241,599,2388,2432,2405,1783,4188,1905,1789,687,2592,5580,147
MANYBERRIES,DEVELOPMENT,Vertical,,MANYBERRIES BOW ISLAND B,,19730226,853.4,0,100/11-08-005-05W4/00,,,1,,20010801,Abandoned Zone Gas,492.4,449.7,PRIMARY,,769.9,769.3,769.3,BOW ISLAND SD,162106.5,BOW ISLAND B,YES,BWL,AB3,Medicine Hat,0,95101.94,0,20120922,0,15120,19730301,938.2,690.14,,0.07,38.65,,149.76,118.99,6.66,,0,0,,,,,,0045222,7,0,,26624,940217.7,,0,2241,599,2388,2432,2405,1783,4188,1905,1789,687,2592,5580,147
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19730522,919,0,100/10-22-034-09W4/00,,,2,,19860801,Abandoned Crude Oil,368.7,414.6,WATER FLOOD,Waterflood,895.2,893.1,893.1,HAMILTON LAKE MBR,56442.5,BELLY RIVER DD,YES,BWL,AB3,Medicine Hat,0,49454.266,31728.322,19960726,5044.4,7862.6,19730525,779.4,181.6,1.19,2.01,1.15,2.57,20.25,32.5,2.77,,0,0,,,2,,,0045671,1,0,,4059,143342.23,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT SERVICE,Vertical,,PROVOST COMMINGLED MFP9515,INJECTION,19730611,917.4,0,100/12-21-034-09W4/00,,,3,19791101,,Abandoned Water Injection,346.6,430.9,PRIMARY,Waterflood,898.9,896.4,897,HAMILTON LAKE MBR,0,BELLY RIVER DD,,BWL,AB3,Medicine Hat,0,0,0,19971207,0,0,19730613,774.2,,,,,,,,,,0,47051.797,0,,2,,,0045752,1,0,0,0,0,,295946.9,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19730613,915.9,0,102/10-14-034-09W4/00,,,2,,19840701,Abandoned Crude Oil,355.3,426.8,WATER FLOOD,Waterflood,895.8,894.3,894.6,HAMILTON LAKE MBR,18803.41,BELLY RIVER DD,YES,BWL,AB3,Medicine Hat,0,18093.898,16766.12,19960723,2665.6,2876.7,19730616,778.2,25.84,7.77,3.93,1.11,2.16,15.63,12.23,2.35,,0,0,,,2,,,0045852,1,0,,334.6,11816.287,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEEPER-POOLTEST,Vertical,,PROVOST COMMINGLED MFP9515,,19730707,856.2,0,100/06-07-037-03W4/00,,,2,,20230501,Pumping Gas,370.1,295.3,PRIMARY,,664.2,662,842.2,WINTERBURN GRP,287510.8,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,708.8617,3.1449053,,0.5,112.7,19730708,661.1,560.77,0.14,0.06,14.76,0.05,0.27,96.82,2.6,,0,0,,,2,,,0046399,1,0,,47219.6,1667544.4,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
GLEICHEN,NEW FIELD WILDCAT,Vertical,,GLEICHEN COMMINGLED MFP9501,,19730706,1440.2,0,100/07-25-022-21W4/00,,,332,,20221001,Abandoned Zone Gas,421.98,488.4,PRIMARY,,801,469,1437.4,PEKISKO FM,46092.31,EDMONTON A,YES,BWL,AB3,Calgary/Edmonton,0,59.7532,0,,0,9.5,19730711,906.5,,,,,,,,,,570.48584,0,,,,,,0046414,11,90.7,,7476.4,264026.56,,0,1369,1,1456,1445,5830,2,5832,1534,1455,1,1535,3227,87
