Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
HAIRY HILL,NEW POOL WILDCAT,Vertical,,HAIRY HILL COMMINGLED MFP9503,,19730824,659.9,0,100/07-32-055-14W4/02,,,5,,19840401,Abandoned Gas,437.5,174.2,PRIMARY,,477.3,472.4,657.5,CAMROSE TONGUE =DOL=,72339.055,VIKING N,YES,BWL,AB5,Lloydminster,0,205.67682,0,20000107,0,32.7,19730827,608.1,640.96,,0.08,6.87,,0.05,110.51,1.18,,0,0,,,,,,0046983,11,0,,11880.8,419566.5,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
PROVOST,DEEPER-POOLTEST,Vertical,,PROVOST COMMINGLED MFP9515,,19730912,899.2,0,100/06-13-037-03W4/00,,,1,,20060901,Abandoned Gas,377.8,344.9,PRIMARY,,709.9,708.7,883.3,WINTERBURN GRP,168359.62,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,756.66425,0,20190423,0,120.3,19730915,719.3,523.47,,0.06,0.73,,1.35,90.25,0.13,,0,0,,,2,,,0047142,6,0,,27651,976485.9,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19731012,655.3,0,1B0/13-13-045-06W4/00,,,2,,20120901,Abandoned Crude Oil,456.1,203.2,WATER FLOOD,Waterflood,632.8,630.9,630.3,WAINWRIGHT SD,216308.72,SPARKY Z,,BWL,AB4,Medicine Hat,0,361768.53,208526.1,20131114,33153,57516.6,19731014,656.2,29.06,21.8,5.9,0.88,6.73,0.83,26.81,6.88,,0,0,,,3,4046,24,0047378,11,0,,1278.2,45139.207,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19731019,913.2,0,100/13-06-036-09W4/00,,,4,,19860301,Abandoned Crude Oil,368.8,422.8,PRIMARY,,887.6,883.9,893.7,HAMILTON LAKE MBR,28996.371,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,0,2627.883,19931215,417.8,0,19731021,788.2,348.79,11.75,,10.24,1.04,,71.89,2.81,,0,0,,,2,,,0047614,2,0,,4330.7,152937.23,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
WAINWRIGHT,DEVELOPMENT,Vertical,,,,19731120,187.5,0,1B0/04-24-045-06W4/00,,,,,,Abandoned,459.6,204.3,PRIMARY,,,,,,,,,BWL,AB4,Medicine Hat,,,,19731124,,,19731121,660.8,,,,,,,,,,,,,,,,,0047893,,,,,,,,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
BEAVERHILL LAKE,NEW POOL WILDCAT,Vertical,,BEAVERHILL LAKE COMMINGLED MFP9509,,19731108,1085.1,0,100/10-07-049-17W4/00,,,3,,,Abandoned Gas,343.59,375.1,PRIMARY,,819.6,816.6,1053.1,NISKU FM,,LOWER VIKING A,YES,BWL,AB5,Calgary/Edmonton,,,,20001103,,,19731111,715.7,,,,,,,,,,,,,,,,,0047917,4,,,,,,,6771,2,7039,7144,9262,3,9265,7422,7037,2,7424,10085,268
SWAN HILLS,DEVELOPMENT,Vertical,,SWAN HILLS COMMINGLED POOL 001,INJECTION,19740121,2298.2,0,100/06-23-069-10W5/00,,,8,20090801,19911001,Abandoned Water Injection,407.44,455.5,WATER FLOOD,Waterflood,2256.1,2248.5,2283,WATT MTN FM,262572.84,BEAVERHILL LAKE A,,BWL,AB5,Athabasca/Peace River,0,0,240563.88,20091209,38246.6,0,19740207,862,63.54,129.68,,13.51,18.47,,140.64,20.8,,0,296173.5,0,,10,20226,95,0048501,5,0,0,3614.7,127651.93,,1862875.2,11293,11616,11694,16079,131,43716,43847,81,78,16542,16623,16743,401
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19740221,650.1,0,1B0/14-13-045-06W4/00,,,2,,19880901,Abandoned Crude Oil,453.7,200.7,WATER FLOOD,Waterflood,625.4,623.6,623,WAINWRIGHT SD,72868.3,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,112606.484,71084.3,20040113,11301.5,17903,19740223,650.4,18.54,19.31,2.63,0.12,0.31,27.68,22.51,0.33,,0,0,,,3,4046,24,0048703,5,0,,293,10347.197,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19740316,649.5,0,1D0/01-24-045-06W4/00,,,2,,20050201,Abandoned Zone Crude Oil,443.8,212.7,WATER FLOOD,Waterflood,631.5,629.7,629.4,WAINWRIGHT SD,82662.77,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,243806.9,79373.64,,12619.4,38762.2,19740319,653.5,18.88,18.31,5.05,0.59,1.2,19.33,21.57,1.3,,0,0,,,3,4046,24,0049298,2,0,,540.2,19076.982,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,OTHER,Vertical,,,SOURCE,19740325,733,0,1B2/13-13-045-06W4/00,,,37,,20041201,Abandoned Zone Water Source,456.1,203.2,PRIMARY,Waterflood,733,696.5,702.9,LEDUC FM,0,,,BWL,AB4,Medicine Hat,0,9816862,0,,0,1560756.2,19740330,656.2,,,1524.02,,,777.3,0,0,,0,0,,,,,,0049306,4,0,,0,0,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19740715,660.5,0,1B0/09-14-045-06W4/00,,,3,,20090601,Abandoned Crude Oil,463,208.2,WATER FLOOD,Waterflood,639.5,637,636.4,WAINWRIGHT SD,143211.73,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,525094.2,129069.43,20221003,20520.4,83483.3,19740718,668.1,296.94,9.72,4.14,1.04,0.97,9.5,60.92,1.15,,0,0,,,3,4046,24,0049410,2,0,,2322.7,82025.375,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
PENDANT D'OREILLE,NEWPOOLWILDCATIEW,Vertical,,,,19740506,1042.4,0,100/06-18-003-06W4/00,,,,,,Abandoned,542.5,382.3,PRIMARY,,,,1026.3,LIVINGSTONE FM,,,YES,BWL,AB3,Medicine Hat,,,,19930611,,,19740511,921.1,,,,,,,,,,,,,,,,,0049613,11,,,,,,,10988,,11769,11567,18995,,18995,12383,11769,,12383,27530,781
WAINWRIGHT,DEVELOPMENT,Vertical,,,SOURCE,19740715,694.6,0,1B0/06-16-045-06W4/02,,,2,,19961101,Abandoned Water Source,482.8,218.5,PRIMARY,,638.5,637,676.4,WAINWRIGHT SD,0,,,BWL,AB4,Medicine Hat,0,71662.33,0,20210815,0,11393.4,19740717,698.3,,,275.01,,,384.25,0,0,,0,0,,,,,,0050182,3,0,,0,0,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19740715,694.6,0,1B0/06-16-045-06W4/00,,,2,,19970601,Abandoned Zone Crude Oil,482.8,218.5,WATER FLOOD,Waterflood,677.9,676.4,676.4,WAINWRIGHT SD,52927.555,SPARKY Z,,BWL,AB4,Medicine Hat,0,245703.28,51729.29,20210815,8224.3,39063.7,19740717,698.3,1.17,16.23,20.34,6.56,4.67,419.88,16.43,5.8,,0,0,,,3,4046,24,0050182,3,0,,196.8,6949.9263,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
RANFURLY,DEVELOPMENT,Vertical,,,,19740727,762,0,100/10-08-050-12W4/02,,,,,,Abandoned Zone,428.5,222.2,PRIMARY,,,,748,WOODBEND GRP,,,,BWL,AB4,Medicine Hat,,,,20020729,,,19740729,646.8,,,,,,,,,,,,,,,,,0050486,4,,,,,,,863,,872,909,1357,,1357,918,872,,918,338,9
RANFURLY,DEVELOPMENT,Vertical,,RANFURLY COMMINGLED POOL 003,,19740727,762,0,100/10-08-050-12W4/00,,,3,,19800301,Abandoned Zone Gas,428.5,222.2,PRIMARY,,723,719.9,748,WOODBEND GRP,20598.193,UPPER MANNVILLE A,,BWL,AB4,Medicine Hat,0,0,0,20020729,0,0,19740729,646.8,369.36,,,56,,,63.68,9.66,,0,0,,,,,,0050486,4,0,,3383,119469.516,,0,863,,872,909,1357,,1357,918,872,,918,338,9
RANFURLY,DEVELOPMENT,Vertical,,,,19740727,762,0,100/10-08-050-12W4/03,,,,,,Abandoned,428.5,222.2,PRIMARY,,,,748,WOODBEND GRP,,,,BWL,AB4,Medicine Hat,,,,20020729,,,19740729,646.8,,,,,,,,,,,,,,,,,0050486,4,,,,,,,863,,872,909,1357,,1357,918,872,,918,338,9
PEMBINA,NEW POOL WILDCAT,Vertical,,,,19740806,909.8,0,100/10-21-048-02W5/00,,,,,,Abandoned,242.81,571.3,PRIMARY,,,,894.6,LEA PARK FM,,,YES,BWL,AB5,Calgary/Edmonton,,,,19941202,,,19740808,809.9,,,,,,,,,,,,,,,,,0050557,1,,,,,,,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19740726,653.8,0,1B0/01-24-045-06W4/00,,,4,19770901,19900101,Abandoned Crude Oil,443.8,214.9,WATER FLOOD,Waterflood,638.3,634,635.8,WAINWRIGHT SD,0,SPARKY Z,,BWL,AB4,Medicine Hat,0,10717.838,0,20211126,0,1704,19740728,655.6,,,34.36,,,25.67,0,0,,0,15579.102,0,,3,4046,24,0050605,2,0,0,0,0,,97989.6,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19740905,664.5,0,100/11-06-045-05W4/00,,,5,,19900301,Abandoned Crude Oil,449.18,218,PRIMARY,Waterflood,648.3,643.1,646.5,SPARKY MBR,7411.7173,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,7237.685,4472.6846,20220715,711.1,1150.7,19740907,664.2,46.66,6.13,1.97,4.75,1.45,25.63,14.17,2.27,,0,0,,,3,4046,24,0051047,12,0,,482.7,17046.389,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
OKOTOKS,DEVELOPMENT,Vertical,,OKOTOKS WABAMUN B,,19750114,2621.3,0,102/10-02-022-29W4/00,,,26,,19840801,Abandoned Gas,634.9,384.4,PRIMARY,,2583.5,2557.3,2557.3,CROSSFIELD MBR,2825.7822,WABAMUN B,,BWL,AB2,Calgary/Edmonton,0,0,0,19980701,0,0,19750227,1015,1094.62,,,26.29,,,188.73,4.53,,0,0,,,,,,0052366,3,0,,464.1,16389.537,,0,7460,4,7986,14197,42107,7,42114,15105,7982,4,15109,19930,526
HOTCHKISS,DEVELOPMENT,Vertical,,,DISPOSAL,19750208,728.5,0,100/07-02-094-01W6/00,,,6,20120401,,Abandoned Water Disposal,569.96,114.6,PRIMARY,II,711,705,705,SHUNDA FM,0,,,BWL,AB7,High Level,0,0,0,20140721,0,0,19750211,681.2,,,,,,,,,,0,646455.25,0,,,,,0052775,2,0,0,0,0,,4066081.2,30721,75,32458,33018,43612,183,43795,34809,32383,83,34892,67190,1737
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19750315,701,0,100/06-09-038-03W4/00,,,2,,20230401,Pumping Gas,377.8,296.4,PRIMARY,,663.5,661.7,661.1,PROVOST MBR,261521.48,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,2906.5215,16.982489,,2.7,462.1,19750317,670.3,605.27,0.41,0.04,0.2,0.05,0.28,104.76,0.08,,0,0,,,2,,,0053214,1,0,,42948.9,1516726.1,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
WAINWRIGHT,NEW POOL WILDCAT,Vertical,,,,19750327,681.2,0,1C0/11-18-046-05W4/00,,,,,,Abandoned,471,231,PRIMARY,,,,624.8,MANNVILLE GRP,,,YES,BWL,AB4,Medicine Hat,,,,20080720,,,19750329,698.9,,,,,,,,,,,,,,,,,0053369,4,,,,,,,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
RED WILLOW,DEVELOPMENT,Vertical,,RED WILLOW COMMINGLED POOL 004,,19750321,1167.4,0,100/06-02-039-16W4/00,,,7,,20180101,Abandoned Gas,510.7,296.1,PRIMARY,,1010.1,1003.1,1160.67,BIG VALLEY FM,156554.19,VIKING C,YES,BWL,AB5,Calgary/Edmonton,0,7586.7695,0,20190222,0,1206.2,19750326,802.8,270.12,,0.84,28.17,,1.39,46.57,4.86,,0,0,,,,,,0053373,2,0,,25712.1,908014.25,,0,2308,92,2471,2483,3678,157,3835,2552,2379,100,2652,6199,163
KAKWA,NEWFLDWILDCATIEW,Vertical,,,,19750404,5370,0,100/02-20-061-07W6/00,,,,,,Abandoned,,,PRIMARY,,,,5349.2,GILWOOD MBR,,,YES,BWL,AB2,Drayton Valley/Grande Prairie,,,,19760319,,,19751006,1056.1,,,,,,,,,,,,,,,,,0053385,6,,,,,,,77285,5076,92480,84250,169038,8855,177893,94984,87404,5764,100748,613886,15195
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19750620,649.2,0,1D0/06-30-045-05W4/00,,,6,,19910801,Abandoned Crude Oil,457.6,185.8,WATER FLOOD,Waterflood,623.6,617.2,615.7,SPARKY MBR,239339.66,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,821934.9,233904.86,20220830,37187.9,130677.2,19750623,640.4,50.74,77.4,20.35,0.42,17.24,312.17,86.15,17.31,,0,0,,,3,4046,24,0053555,6,0,,892.6,31521.871,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19750615,652.3,0,1B0/08-30-045-05W4/00,,,6,,20000901,Abandoned Crude Oil,465.9,179.7,WATER FLOOD,Waterflood,622.7,616.9,572.4,MANNVILLE GRP,82035.305,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,228682.42,74221.02,20220831,11800.2,36357.6,19750618,642.5,151.82,35.69,15.02,0.97,0.72,5.35,61.87,0.89,,0,0,,,3,4046,24,0053556,5,0,,1283.4,45322.844,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19750604,655.3,0,1D0/07-30-045-05W4/00,,,7,,20071001,Abandoned Crude Oil,453.6,195.9,WATER FLOOD,Waterflood,627.9,621.2,575.8,MANNVILLE GRP,186147.62,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,424849.66,179158.97,20220831,28484,67545.7,19750606,646.5,40.9,51.73,12.77,0.12,1.7,12.92,58.78,1.72,,0,0,,,3,4046,24,0053557,3,0,,1147.8,40534.176,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COLONY LLL,,19750604,665.1,0,1B0/05-13-045-06W4/00,,,2,,20060801,Abandoned Gas,467,203.9,PRIMARY,,610.8,608.4,593.4,MANNVILLE GRP,37024.2,COLONY LLL,YES,BWL,AB4,Medicine Hat,0,1059.8331,0,20100806,0,168.5,19750607,667.8,39.05,,0.03,9.99,,1.61,6.89,2.15,0.43,13.208603,0,,,,,,0053559,2,2.1,,6078.6,214663.73,0.16,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
HERRONTON,NEWFLDWILDCATIEW,Vertical,,,,19750523,1066.8,0,100/11-12-021-27W4/00,,,,,,Abandoned,368.29,672.9,PRIMARY,,,,1051.6,PAKOWKI,,,,BWL,AB2,Calgary/Edmonton,,,,19750601,,,19750530,1037.5,,,,,,,,,,,,,,,,,0053612,,,,,,,,11578,1138,12509,12432,29698,2335,32033,12196,11371,1258,13454,35763,931
FORTY MILE,DEVELOPMENT,Vertical,,FORTY MILE COMMINGLED MFP9517,,19750616,990.6,0,100/07-08-007-09W4/00,,,3,,19930201,Abandoned Gas,527.2,329.9,PRIMARY,,935.7,932.7,979,LIVINGSTONE FM,54366.93,FISH SCALE A,,BWL,AB3,Medicine Hat,0,19.498413,0,19961209,0,3.1,19750620,853.1,432.02,,0.1,20.09,,0.02,74.49,3.46,,0,0,,,,,,0053641,1,0,,8929.1,315328.2,,0,3168,1,3231,3336,4553,1,4554,3400,3230,1,3401,2267,63
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19750712,918.4,0,100/10-16-034-09W4/00,,,2,,19860301,Abandoned Crude Oil,366.9,411.9,PRIMARY,Waterflood,892.8,890.6,890.3,HAMILTON LAKE MBR,20950.412,BELLY RIVER DD,YES,BWL,AB3,Medicine Hat,0,23969.21,7570.416,19901023,1203.6,3810.8,19750715,775.4,348.11,2.66,2.17,0.98,1.68,10.22,62.68,1.85,,0,0,,,2,,,0053655,1,0,,2197.5,77603.98,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
TWINING,DEVELOPMENT,Horizontal,,TWINING COMMINGLED POOL 001,,19750618,2457,1702.74,100/13-03-031-24W4/03,19920728,,814,,19921201,Abandoned Crude Oil,338.4,569.9,PRIMARY,,2457,1642.8,1641,PEKISKO FM,891.99976,UPPER MANNVILLE O,,BWL,AB3,Calgary/Edmonton,0,5182.804,0,20220510,0,824,19920726,904.3,56.17,,60.86,32.7,,23.91,9.68,5.64,,0,0,,,13,,,0053930,9,0,,146.5,5173.5986,,0,14263,4708,17327,15758,19583,8239,27822,13819,12619,5276,19095,120360,3064
TWINING,DEVELOPMENT,Vertical,,TWINING VIKING B,,19750618,1720.6,0,100/06-10-031-24W4/02,,,3,,19790201,Abandoned Zone Gas,338.4,569.9,PRIMARY,,1450.8,1447.5,1703.2,BANFF FM,30539.646,VIKING B,YES,BWL,AB3,Calgary/Edmonton,0,4477.7163,0,20220510,0,711.9,19750629,904.3,354.28,,3.99,19.97,,1.94,62.42,5.73,2.29,716.4094,0,,,,,,0053930,7,113.9,,4898.1,172974.77,1.34,0,14263,4708,17327,15758,19583,8239,27822,13819,12619,5276,19095,120360,3064
TWINING,DEVELOPMENT,Vertical,,TWINING COMMINGLED POOL 001,,19750618,1720.6,0,100/06-10-031-24W4/00,,,33,,19901101,Abandoned & Whipstocked Crude Oil,338.4,569.9,PRIMARY,,1695,1662.4,1703.2,BANFF FM,75650.89,UPPER MANNVILLE O,YES,BWL,AB3,Calgary/Edmonton,0,15191.151,41716.54,20220510,6632.4,2415.2,19750629,904.3,175.08,41.56,34.79,23.13,9.41,0.38,71.75,13.4,,0,0,,,13,,,0053930,7,0,,5573.3,196819.23,,0,14263,4708,17327,15758,19583,8239,27822,13819,12619,5276,19095,120360,3064
HAIRY HILL,DEEPER-POOLTEST,Vertical,,HAIRY HILL CAMROSE A,,19750720,660.5,0,100/10-23-055-14W4/00,,,5,,19781001,Abandoned Zone Gas,420.1,190.7,PRIMARY,,644.3,639.8,646.2,IRETON FM,330187.25,CAMROSE A,,BWL,AB5,Lloydminster,0,1213.9335,0,19971011,0,193,19750724,607.2,4076.85,,0.82,330.69,,0.12,702.91,57.02,,0,0,,,,,,0054122,16,0,,54229.2,1915086.1,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
HAIRY HILL,DEEPER-POOLTEST,Vertical,,HAIRY HILL COMMINGLED POOL 005,,19750720,660.5,0,100/10-23-055-14W4/02,,,14,,19830601,Abandoned Zone Gas,420.1,190.7,PRIMARY,,620.5,606.6,646.2,IRETON FM,704681.6,UPPER MANNVILLE SS,,BWL,AB5,Lloydminster,0,914.5385,0,19971011,0,145.4,19750724,607.2,3004.36,,0.49,1139.01,,1.05,517.99,196.38,,0,0,,,,,,0054122,16,0,,115735.3,4087153.5,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
HAIRY HILL,DEEPER-POOLTEST,Vertical,,,,19750720,660.5,0,100/10-23-055-14W4/03,,,,,,Abandoned,420.1,190.7,PRIMARY,,,,646.2,IRETON FM,,,,BWL,AB5,Lloydminster,,,,19971011,,,19750724,607.2,,,,,,,,,,,,,,,,,0054122,16,,,,,,,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
LEAHURST,NEW POOL WILDCAT,Vertical,,,,19750708,1300,0,100/11-34-039-18W4/00,,,2,,20000501,Abandoned Zone Gas,488.09,286.1,PRIMARY,,1215.5,1213.7,1287.2,WABAMUN GRP,2070.1702,,YES,BWL,AB5,Calgary/Edmonton,0,0,0,20190223,0,0,19750714,770.2,203.27,,,24.49,,,35.05,4.22,,0,0,,,,,,0054124,3,0,,340,12006.986,,0,2736,126,2975,2985,4616,334,4950,3100,2849,143,3243,9470,239
LEAHURST,NEW POOL WILDCAT,Vertical,,LEAHURST VIKING F,,19750708,1300,0,100/11-34-039-18W4/02,,,1,,19960601,Abandoned Gas,488.09,286.1,PRIMARY,,1068,1066.8,1287.2,WABAMUN GRP,4967.7993,VIKING F,YES,BWL,AB5,Calgary/Edmonton,0,0,0,20190223,0,0,19750714,770.2,104.81,,,60.85,,,18.07,10.49,,0,0,,,,,,0054124,3,0,,815.9,28813.236,,0,2736,126,2975,2985,4616,334,4950,3100,2849,143,3243,9470,239
PROVOST,DEEPER-POOLTESTIEW,Vertical,,PROVOST COMMINGLED MFP9515,,19750804,877.2,0,100/01-20-038-04W4/00,,,2,,20230701,Pumping Gas,370.6,320.4,PRIMARY,,685.5,684,860.5,WOODBEND GRP,197978.27,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,630.239,18.240452,,2.9,100.2,19750807,686.7,416,0.45,0.04,5.95,0.05,0.07,72.17,1.07,,0,0,,,2,,,0054200,1,0,,32512.5,1148168.1,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEEPER-POOLTEST,Vertical,,,,19750716,1077.5,0,100/06-16-036-09W4/02,,,90,,,Abandoned,368.6,432.7,PRIMARY,,1031.7,942.1,1073.5,WINTERBURN GRP,,,YES,BWL,AB4,Medicine Hat,,,,20001027,,,19750720,797.7,,,,,,,,,,,,,,,,,0054224,5,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEEPER-POOLTEST,Vertical,,PROVOST COMMINGLED MFP9515,,19750716,1077.5,0,100/06-16-036-09W4/00,,,3,,20001001,Abandoned Zone Crude Oil,368.6,432.7,PRIMARY,,896.1,893.1,1073.5,WINTERBURN GRP,1927.7667,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,245.9316,1925.9401,20001027,306.2,39.1,19750720,797.7,3.53,10.61,0.52,0.11,3.3,1.77,11.22,3.32,,0,0,,,2,,,0054224,5,0,,0.3,10.5944,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
ATLEE-BUFFALO,DEVELOPMENT,Vertical,,ATLEE-BUFFALO COMMINGLED MFP9501,,19751009,442.6,0,100/16-29-021-05W4/00,,,90,,20190601,Suspended Gas,441,258.8,PRIMARY,,432.8,342.6,430.4,MEDICINE HAT SD,37923.082,BELLY RIVER I,YES,BWL,AB3,Medicine Hat,0,18.869432,0,,0,3,19751011,696.8,116.4,,0.15,0.95,,0.04,20.07,0.16,,0,0,,,,,,0054286,13,0,,6228.4,219953.88,,0,9725,458,10139,10235,26824,852,27676,10183,9681,485,10668,15139,414
WAINWRIGHT,DEVELOPMENT,Vertical,,,,19750725,655.3,0,1D0/01-30-045-05W4/03,,,10,,20060901,Abandoned Gas,445.3,207.3,PRIMARY,,543.8,534,626.4,SPARKY MBR,3916.275,,YES,BWL,AB4,Medicine Hat,0,0,0,20220831,0,0,19750728,649.5,33.07,,,2.57,,,5.7,0.44,,0,0,,,,,,0054337,13,0,,643.2,22714.395,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19750725,655.3,0,1D0/01-30-045-05W4/00,,,8,,19810601,Abandoned Zone Crude Oil,445.3,207.3,WATER FLOOD,Waterflood,623,615,626.4,SPARKY MBR,1838.4012,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,2561.211,444.68964,20220831,70.7,407.2,19750728,649.5,114.98,10.04,5.16,0.54,0.67,4.36,29.86,0.76,,0,0,,,3,4046,24,0054337,13,0,,228.9,8083.5273,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COLONY AAA,,19750725,655.3,0,1D0/01-30-045-05W4/02,,,3,,20020401,Abandoned Zone Gas,445.3,207.3,PRIMARY,,588.9,586.4,626.4,SPARKY MBR,60740.617,COLONY AAA,YES,BWL,AB4,Medicine Hat,0,193.09718,0,20220831,0,30.7,19750728,649.5,15.36,,0.04,33.45,,0.02,2.65,5.77,,0,0,,,,,,0054337,13,0,,9975.9,352295.6,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
