Licence,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Substance Released 1,Volume Released 1,Volume Recovered 1
0099663,DEVELOPMENT,Vertical,,PROVOST LLOYDMINSTER O,PROVOST,INJECTION,19821217,800,0,102/15-26-040-03W4/00,,,1,20080901,19941201,Abandoned Water Injection,424.5,252.6,WATER FLOOD,Waterflood,764,763,772,DINA MBR,162771.62,LLOYDMINSTER O,,BWL,AB4,Medicine Hat,0,1888656.6,149995.64,20200325,23847.4,300272.4,19821219,673.6,6.63,7.16,3.55,34.43,18.65,691.45,8.3,24.59,,0,2065669,0,,5,5289,29,3,0,0,2098.3,74100.766,,12992667,Salt/Produced Water,9,9
0037676,DEVELOPMENT,Vertical,,,PROVOST,DISPOSAL,19700129,923.5,0,100/12-16-040-10W4/00,,,2,20030901,,Abandoned Water Disposal,383.85,323.9,PRIMARY,II,906.5,904.6,897.6,GLAUCONITIC SS,0,,,BWL,AB4,Medicine Hat,0,0,0,20061205,0,0,19700201,704.4,,,,,,,,,,0,3756725,0,,,,,2,0,0,0,0,,23629090,Crude Oil,0.1,
0097563,DEVELOPMENT,Vertical,,PROVOST UPPER MANNVILLE Z2Z,PROVOST,,19820929,1045,0,100/05-26-040-12W4/00,,,8,,19830101,Abandoned Zone Crude Oil,399.18,342.3,PRIMARY,,968,960.5,1025,WINTERBURN GRP,1189.6156,UPPER MANNVILLE Z2Z,,BWL,AB4,Medicine Hat,0,1324.6342,1157.9542,20160923,184.1,210.6,19821003,737.2,2.79,23.38,17.32,2,7.16,13.55,23.86,7.5,,0,0,,16,12,6840,32,3,0,,5.2,183.63626,,0,Crude Oil,0.1,0.1
0097563,DEVELOPMENT,Vertical,,PROVOST ELLERSLIE D,PROVOST,,19820929,1045,0,100/05-26-040-12W4/02,,,3,,20120901,Abandoned Crude Oil,399.18,342.3,PRIMARY,,982,979,1025,WINTERBURN GRP,135208.73,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,6175788.5,126556.02,20160923,20120.8,981871.9,19821003,737.2,3.05,78.57,59.51,1.05,0.08,24.13,79.1,0.26,,0,0,,184,3,6464,34,3,0,,1421.1,50185.67,,0,Crude Oil,0.1,0.1
0179027,DEVELOPMENT,Vertical,LEA PARK FM,WILLESDEN GREEN BASAL BELLY RIVER LL,WILLESDEN GREEN,,19950711,1440,0,100/02-29-042-05W5/00,19950718,CACTUS DRILLING & EXPLORATION LTD,3,,20011101,Abandoned Zone Crude Oil,378.59,630.7,PRIMARY,,1416,1413.5,1416.7,LEA PARK FM,19532.64,BASAL BELLY RIVER LL,YES,BWL,AB2,Calgary/Edmonton,0,64.15607,6113.067,20141028,971.9,10.2,19950716,1003.6,366.49,20.64,1.53,61.72,3.53,0.16,83.83,14.17,,0,0,,8,4,9533,54,2,0,,2204,77833.52,,0,Frac Oil,5,4.5
0179027,DEVELOPMENT,Vertical,LEA PARK FM,,WILLESDEN GREEN,,19950711,1440,0,100/02-29-042-05W5/02,19950718,CACTUS DRILLING & EXPLORATION LTD,,,,Abandoned,378.59,630.7,PRIMARY,,,,1416.7,LEA PARK FM,,,YES,BWL,AB2,Calgary/Edmonton,,,,20141028,,,19950716,1003.6,,,,,,,,,,,,,,,,,2,,,,,,,Frac Oil,5,4.5
0072123,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,WAINWRIGHT,,19781014,727,0,1B0/12-04-045-06W4/00,,,5,,20080601,Abandoned Crude Oil,490.5,213.8,PRIMARY,Waterflood,683,678,708,LLOYDMINSTER MBR,58234.273,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,44241.9,54845.89,20171028,8719.8,7033.9,19781015,700.3,3.76,28.54,22.14,0.62,1.04,4.98,29.19,1.15,,0,0,,,3,4046,24,3,0,,556.5,19652.611,,0,Crude Oil,1,
0237777,NEW POOL WILDCAT,Vertical,ELLERSLIE MBR,BRUCE LOWER MANNVILLE Y,BRUCE,,20001008,972,0,100/09-07-046-15W4/02,20001012,PRECISION DRILLING CORPORATION,10,,20020601,Abandoned Zone Gas,398.3,311.5,PRIMARY,,951,941.2,958,ELLERSLIE MBR,99578.23,LOWER MANNVILLE Y,,BWL,AB5,Medicine Hat,0,15051.518,0,20170310,0,2393,20001010,705.9,1018.4,,37.83,591.54,,101.54,175.59,101.99,,0,0,,,,,,5,0,,16354.5,577553.7,,0,Gas Production (Raw),,
0237777,NEW POOL WILDCAT,Vertical,ELLERSLIE MBR,,BRUCE,,20001008,972,0,100/09-07-046-15W4/04,20001012,PRECISION DRILLING CORPORATION,,,,Abandoned,398.3,311.5,PRIMARY,,,,958,ELLERSLIE MBR,,,,BWL,AB5,Medicine Hat,,,,20170310,,,20001010,705.9,,,,,,,,,,,,,,,,,5,,,,,,,Gas Production (Raw),,
0237777,NEW POOL WILDCAT,Vertical,ELLERSLIE MBR,,BRUCE,,20001008,972,0,100/09-07-046-15W4/03,20001012,PRECISION DRILLING CORPORATION,,,,Abandoned Zone,398.3,311.5,PRIMARY,,,,958,ELLERSLIE MBR,,,,BWL,AB5,Medicine Hat,,,,20170310,,,20001010,705.9,,,,,,,,,,,,,,,,,5,,,,,,,Gas Production (Raw),,
0237777,NEW POOL WILDCAT,Vertical,ELLERSLIE MBR,BRUCE LOWER MANNVILLE Z,BRUCE,,20001008,972,0,100/09-07-046-15W4/00,20001012,PRECISION DRILLING CORPORATION,2,,20020101,Abandoned Zone Gas,398.3,311.5,PRIMARY,,960,958,958,ELLERSLIE MBR,75857.125,LOWER MANNVILLE Z,,BWL,AB5,Medicine Hat,0,1207.6437,0,20170310,0,192,20001010,705.9,702.94,,3.5,962.06,,12.44,121.2,165.87,,0,0,,,,,,5,0,,12458.6,439971.3,,0,Gas Production (Raw),,
0010891,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,PEMBINA,,19560211,1460,0,100/02-32-047-07W5/00,,,1068,,20230501,Pumping Crude Oil,411.29,359.5,WATER FLOOD,Waterflood,1427.1,359,1419.8,CARDIUM SD,922555.6,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,510951.53,860792.7,,136855.1,81234.8,19560227,767.5,39.42,299.47,9.61,5.14,10.15,27.59,306.27,11.03,,0,0,,,5,,52,4,0,,10143.8,358224.9,,0,Crude Oil,1,
0027780,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,PEMBINA,,19650218,1424.9,0,100/10-14-048-06W5/02,,,5,,19731001,Abandoned Crude Oil,481.4,362.9,PRIMARY,Waterflood,1402.7,1397.8,1396.9,CARDIUM SD,33435.375,CARDIUM,YES,BWL,AB5,Calgary/Edmonton,0,48199.45,31949.723,20141122,5079.6,7663.1,19650225,839.7,17.96,52.42,9.75,0.57,0.88,33.68,55.52,0.98,,0,0,,,5,,52,5,0,,244,8616.778,,0,Crude Oil,2,1
0027780,DEVELOPMENT,Vertical,,PEMBINA COMMINGLED POOL 194,PEMBINA,,19650218,1424.9,0,100/10-14-048-06W5/00,,,6,,19950601,Abandoned Zone Crude Oil,481.4,362.9,PRIMARY,Waterflood,1081.4,1075.6,1396.9,CARDIUM SD,15752.049,BASAL BELLY RIVER D,YES,BWL,AB5,Calgary/Edmonton,0,26861.895,13823.746,20141122,2197.8,4270.7,19650225,839.7,4.91,8.93,38.93,0.19,0.15,1.69,9.78,0.18,,0,0,,,3,8353,40,5,0,,316.7,11184.155,,0,Crude Oil,2,1
0242247,DEEPER-POOLTEST,Vertical,BANFF FM,PEMBINA GLAUCONITIC JJJ,PEMBINA,,20001011,2018,0,102/06-19-048-06W5/03,20001021,PRECISION DRILLING CORPORATION,4,,20100701,Abandoned Gas,458.01,395.6,PRIMARY,,1889,1885,,,76433.03,GLAUCONITIC JJJ,YES,BWL,AB5,Calgary/Edmonton,0,369.84088,1044.7375,20180824,166.1,58.8,20001012,849.2,468.99,2.04,3.98,190.78,1.38,11.93,82.9,34.27,,0,0,,,,,,3,0,,12381.6,437252.06,,0,Gas Production (Raw),0.1,
0242247,DEEPER-POOLTEST,Vertical,BANFF FM,PEMBINA JURASSIC O2O,PEMBINA,,20001011,2018,0,102/06-19-048-06W5/02,20001021,PRECISION DRILLING CORPORATION,3,,20040201,Abandoned Zone Gas,458.01,395.6,PRIMARY,,1950,1947.5,,,25074.809,JURASSIC O2O,YES,BWL,AB5,Calgary/Edmonton,0,113.84557,557.9062,20180824,88.7,18.1,20001012,849.2,445.28,4.61,0.46,127.87,0.36,1.04,81.38,22.41,,0,0,,,,,,3,0,,4026.6,142198.03,,0,Gas Production (Raw),0.1,
0242247,DEEPER-POOLTEST,Vertical,BANFF FM,,PEMBINA,,20001011,2018,0,102/06-19-048-06W5/00,20001021,PRECISION DRILLING CORPORATION,,,,Abandoned Zone,458.01,395.6,PRIMARY,,,,,,,,YES,BWL,AB5,Calgary/Edmonton,,,,20180824,,,20001012,849.2,,,,,,,,,,,,,,,,,3,,,,,,,Gas Production (Raw),0.1,
0009952,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,PEMBINA,,19550818,1566.7,0,100/12-07-048-07W5/00,,,3,,20170901,Abandoned Crude Oil,424.8,454.5,WATER FLOOD,Miscible - Hydrocarbon,1530.1,1527,1520,CARDIUM SD,863371.3,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,4388255.5,753679.75,20180826,119825.5,697676.9,19550828,875.7,41.66,92.84,3.26,6.21,1.24,589.54,100.02,2.31,,0,0,,,5,,52,6,0,,18015.5,636211.4,,0,Contaminated Surface Water,,228
0026608,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,PEMBINA,,19641006,1418.5,0,100/16-08-048-07W5/00,,,1223,,20051201,Abandoned Zone Crude Oil,435.8,326.8,WATER FLOOD,Miscible - Hydrocarbon,1390.8,168,1387.4,CARDIUM SD,218839.05,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,248506.66,176371.33,,28040.8,39509.4,19641015,758.3,108.36,59.81,3.55,2.96,3.75,22.03,78.49,4.26,,0,0,,,5,,52,15,0,,6974.8,246312.73,,0,Fresh Water,0.1,
0259353,DEVELOPMENT,Vertical,SPARKY MBR,BIRCH UPPER MANNVILLE DDD,BIRCH,,20010915,669.1,0,102/16-35-049-11W4/00,20010918,TEMPCO DRILLING COMPANY INC.,7,,20140401,Abandoned Gas,434,251.1,PRIMARY,,669.1,662.5,,,42079.86,UPPER MANNVILLE DDD,,140,AB4,Medicine Hat,0,2177.5325,0,20141210,0,346.2,20011005,682.2,396.86,,0.36,21.86,,0.5,68.42,3.77,,0,0,,,,,,2,0,,6911.1,244063.19,,0,Gas Production (Raw),0.1,
0358568,NEW POOL WILDCAT,Deviated,FERNIE GRP,LAMBERT COMMINGLED POOL 011,LAMBERT,,20060820,3857,3755.51,100/10-15-050-22W5/03,20061207,NABORS DRILLING LIMITED,1054,,20070701,Commingled,,,PRIMARY,,3802.6,2749,3819.32,FERNIE GRP,4430.773,CARDIUM O,YES,140,AB2,Drayton Valley/Grande Prairie,0,63.52709,0,,0,10.1,20061201,1178.2,1565.68,,3.81,421.29,,1.04,269.94,72.64,,0,0,,,,,,8,0,,727.7,25698.482,,0,Gas Production (Raw),73,
0358568,NEW POOL WILDCAT,Deviated,FERNIE GRP,LAMBERT COMMINGLED POOL 011,LAMBERT,,20060820,3857,3755.51,100/10-15-050-22W5/00,20061207,NABORS DRILLING LIMITED,1054,,20230501,Pumping Gas,,,PRIMARY,,3802.6,2749,3819.32,FERNIE GRP,271329.1,CARDIUM O,YES,140,AB2,Drayton Valley/Grande Prairie,0,7600.6074,0,,0,1208.4,20061201,1178.2,1467.86,,3.4,229.28,,1.36,254.02,39.83,0.3,317.63544,0,,,,,,8,50.5,,44510.3,1571866.4,0.94,0,Gas Production (Raw),73,
0358568,NEW POOL WILDCAT,Deviated,FERNIE GRP,LAMBERT COMMINGLED POOL 011,LAMBERT,,20060820,3857,3755.51,100/10-15-050-22W5/02,20061207,NABORS DRILLING LIMITED,1054,,,Commingled,,,PRIMARY,,3802.6,2749,3819.32,FERNIE GRP,,CARDIUM O,YES,140,AB2,Drayton Valley/Grande Prairie,,,,,,,20061201,1178.2,,,,,,,,,,,,,,,,,8,,,,,,,Gas Production (Raw),73,
0356818,OUTPOST,Vertical,IRETON FM,,ROYAL,,20060708,820,0,100/14-32-052-15W4/02,20060721,CAMARO DRILLING LTD.,,,,Abandoned Zone,333.55,328.2,PRIMARY,,,,750.97,GLAUCONITIC SS,,,,140,AB5,Lloydminster,,,,,,,20060720,657.8,,,,,,,,,,,,,,,,,4,,,,,,,Drilling Mud  (Water Based),5,5
0356818,OUTPOST,Vertical,IRETON FM,ROYAL UPPER MANNVILLE F,ROYAL,,20060708,820,0,100/14-32-052-15W4/03,20060721,CAMARO DRILLING LTD.,2,,20110301,Suspended Gas,333.55,328.2,PRIMARY,,657,655,750.97,GLAUCONITIC SS,31643.768,UPPER MANNVILLE F,,140,AB5,Lloydminster,0,4555.081,0,,0,724.2,20060720,657.8,234.89,,12.06,54.47,,11.17,40.5,9.39,,0,0,,,,,,4,0,,5197.1,183533.86,,0,Drilling Mud  (Water Based),5,5
0356818,OUTPOST,Vertical,IRETON FM,,ROYAL,,20060708,820,0,100/14-32-052-15W4/00,20060721,CAMARO DRILLING LTD.,,,,Abandoned Zone,333.55,328.2,PRIMARY,,,,750.97,GLAUCONITIC SS,,,,140,AB5,Lloydminster,,,,,,,20060720,657.8,,,,,,,,,,,,,,,,,4,,,,,,,Drilling Mud  (Water Based),5,5
0356818,OUTPOST,Vertical,IRETON FM,ROYAL VIKING I,ROYAL,,20060708,820,0,100/14-32-052-15W4/04,20060721,CAMARO DRILLING LTD.,1,,20120801,Suspended Gas,333.55,328.2,PRIMARY,,614.5,613.5,750.97,GLAUCONITIC SS,6704.9155,VIKING I,,140,AB5,Lloydminster,0,6.2898107,0,,0,1,20060720,657.8,211.91,,0.13,44.45,,0.21,36.54,7.66,,0,0,,,,,,4,0,,1101.2,38888.51,,0,Drilling Mud  (Water Based),5,5
0125696,OUTPOST,Vertical,BANFF FM,,PADDLE RIVER,,19870201,1508.5,0,100/16-36-057-08W5/00,19870210,PRECISION DRILLING CORPORATION,11,,,Abandoned,-17.5,718.7,PRIMARY,,1474.6,1464,1484,BANFF FM,,,,BWL,AB5,Drayton Valley/Grande Prairie,,,,20090328,,,19870206,697.8,,,,,,,,,,,,,,,,,6,,,,,,,Salt/Produced Water,50,
0147642,OUTPOST,Vertical,LEDUC FM,,KAYBOB SOUTH,,19910127,2884.4,0,100/05-34-058-17W5/02,19910305,GOLDEN PRAIRIE ENERGY LTD.,,,,Abandoned,506.1,510.3,PRIMARY,,,,2822.5,BLUERIDGE MBR,,,YES,BWL,AB2,Drayton Valley/Grande Prairie,,,,20121108,,,19910227,1011.4,,,,,,,,,,,,,,,,,11,,,,,,,Gas Production (Raw),20,
0147642,OUTPOST,Vertical,LEDUC FM,KAYBOB SOUTH BLUERIDGE E,KAYBOB SOUTH,,19910127,2884.4,0,100/05-34-058-17W5/00,19910305,GOLDEN PRAIRIE ENERGY LTD.,34,,19990801,Abandoned Zone Gas,506.1,510.3,PRIMARY,,2874,2840,2822.5,BLUERIDGE MBR,246091.47,BLUERIDGE E,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,47.17358,0,20121108,0,7.5,19910227,1011.4,2885.83,,1.61,171.81,,0.8,497.56,29.62,,0,0,,,,,,11,0,,40417.5,1427330.5,,0,Gas Production (Raw),20,
0162537,OUTPOST,Vertical,KASKAPAU FM,,KAKWA,,19931124,1983,0,100/14-15-062-05W6/00,19931207,COMMAND DRILLING INC,,,,Abandoned,293.51,757,PRIMARY,,,,1936.5,CARDIUM SD,,,YES,BWL,AB2,Drayton Valley/Grande Prairie,,,,20021219,,,19931204,1046,,,,,,,,,,,,,,,,,2,,,,,,,Crude Oil,1,1
0133017,NEW POOL WILDCAT,Deviated,PUSKWASKAU FM,KAKWA COMMINGLED POOL 040,KAKWA,,19880326,1902,1901.89,100/15-13-062-08W6/00,19880416,GEOSEARCH DRILLING LTD.,4,,20190501,Suspended Gas,527.32,736.3,PRIMARY,,1859,1855,1847,CHINOOK MBR,663464.06,EDMONTON A,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,6900.5513,0,,0,1097.1,19880412,1259.4,1426.14,,1.46,83.98,,0.22,247.16,14.65,0.17,212.59561,0,,,,,,1,33.8,,108930.9,3846858.5,1.27,0,Hydrotest Fluids (Methanol),2,1
0020039,NEW FIELD WILDCAT,Vertical,,VIKING-KINSELLA D-2 D,VIKING-KINSELLA,,19601211,778.8,0,100/06-32-049-11W4/00,,,3,,20061001,Abandoned Gas,448,225.9,PRIMARY,,726.9,723.9,759,IRETON FM,1650024.9,D-2 D,,BWL,AB4,Medicine Hat,0,23428.916,0,20101214,0,3724.9,19601215,670.6,2049.68,,0.35,40.42,,42,353.39,6.97,,0,0,,,,,,5,0,,270996.3,9570144,,0,Crude Oil,0.1,
0015221,DEVELOPMENT,Deviated,,STURGEON LAKE SOUTH D-3,STURGEON LAKE SOUTH,INDUSTRIAL,19580525,2630.4,2630.08,100/04-21-069-22W5/00,,,6,20211201,19841001,Waste Industrial,190.29,507.4,PRIMARY,Ib,2614.3,2608.8,2599.3,LEDUC FM,272174.28,D-3,,BWL,AB5,Drayton Valley/Grande Prairie,0,130719.88,236511.34,,37602.3,20782.8,19580709,693.7,165.99,213.44,38.41,3.19,7.63,16.62,242.06,8.18,,0,1352956.5,0,6483,24,21363,88,5,0,0,5857.2,206845.06,,8509840,Crude Oil,10,10
0370968,OTHER,Vertical,WABAMUN GRP,,SEAL,,20070120,1450,0,100/11-07-082-15W5/00,20070126,BEAVER DRILLING LTD.,,,,Abandoned Zone,559.61,167.4,PRIMARY,Ib,,,,,,,YES,280,AB7,Athabasca/Peace River,,,,,,,20070124,721.5,,,,,,,,,,,,,,,,,10,,,,,,,Drilling Mud  (Water Based),26,
0370968,OTHER,Vertical,WABAMUN GRP,,SEAL,DISPOSAL,20070120,1450,0,100/11-07-082-15W5/02,20070126,BEAVER DRILLING LTD.,81,20181101,,Suspended Water Disposal,559.61,167.4,PRIMARY,Ib,809.5,729,,,0,,YES,280,AB7,Athabasca/Peace River,0,0,0,,0,0,20070124,721.5,,,,,,,,,,0,201557.7,0,,,,,10,0,0,0,0,,1267759.8,Drilling Mud  (Water Based),26,
0158751,DEVELOPMENT,Vertical,CHARLIE LAKE FM,CECIL CHARLIE LAKE O,CECIL,,19930603,1180,0,100/14-31-083-07W6/00,19930608,PALLISER ENERGY CORP,4,,20160901,Abandoned Crude Oil,366.61,320.5,PRIMARY,,1144,1140.5,1140,CHARLIE LAKE FM,236240.33,CHARLIE LAKE O,,BWL,AB7,Drayton Valley/Grande Prairie,0,5796.6895,189103.16,20170820,30065,921.6,19930606,682.9,118.33,397.43,5.06,4.18,0.77,0.05,417.83,1.49,,0,0,,,3,8675,46,4,0,,7741.7,273395.56,,0,Crude Oil,4,4
0158751,DEVELOPMENT,Vertical,CHARLIE LAKE FM,CECIL CHARLIE LAKE O,CECIL,,19930603,1180,0,100/14-31-083-07W6/00,19930608,PALLISER ENERGY CORP,4,,20160901,Abandoned Crude Oil,366.61,320.5,PRIMARY,,1144,1140.5,1140,CHARLIE LAKE FM,236240.33,CHARLIE LAKE O,,BWL,AB7,Drayton Valley/Grande Prairie,0,5796.6895,189103.16,20170820,30065,921.6,19930606,682.9,118.33,397.43,5.06,4.18,0.77,0.05,417.83,1.49,,0,0,,,3,8675,46,4,0,,7741.7,273395.56,,0,Crude Oil,0.1,0.1
0183999,DEVELOPMENT,Vertical,GRANITE WASH,LOON GRANITE WASH S,LOON,,19960103,1554,0,100/04-01-085-10W5/00,19960118,CAYMAN VENTURES LTD.,2,,20001201,Abandoned Crude Oil,385.22,161.9,PRIMARY,,1520.5,1518.5,1530.8,PRECAMBRIAN SYSTEM,56086.484,GRANITE WASH S,,BWL,AB7,Athabasca/Peace River,0,162190.95,54798.72,20150319,8712.3,25786.3,19960114,543,21.58,130.03,28.09,2.6,5.33,123.19,133.75,5.78,,0,0,,98,3,16097,38,6,0,,211.5,7469.0522,,0,Crude Oil,3,3
0145312,OUTPOST,Vertical,PRECAMBRIAN SYSTEM,EVI GRANITE WASH T,EVI,,19900911,1640,0,100/10-17-087-12W5/00,19900923,CAYMAN VENTURES LTD.,6,,20010701,Abandoned Crude Oil,495.32,124.2,PRIMARY,,1614,1608,1630,PRECAMBRIAN SYSTEM,24780.441,GRANITE WASH T,,BWL,AB7,Athabasca/Peace River,0,53915,24147.213,20090331,3839.1,8571.8,19900920,615,5.12,20.68,54.33,0.12,2.7,30.42,21.56,2.72,,0,0,,16,6,11869,43,4,0,,104,3672.7253,,0,Crude Oil,1,
